ID,price
0,8323.446633307245
1,9212.25270541511
2,20022.200815242715
3,12141.699541925631
4,9410.894365000137
5,20800.622579066243
6,34964.224594892454
7,20361.359213860724
8,21584.35730171331
9,14460.568687769766
10,14391.558397667899
11,18121.26004100051
12,49465.66433641808
13,12729.030782097916
14,13864.310922788965
15,19999.28502313229
16,22746.641564866895
17,29108.43001377981
18,14106.464552495816
19,5842.85773495588
20,11140.76153540341
21,25076.960593770287
22,18667.957132339747
23,11956.874550474367
24,10262.127842120723
25,19259.294131853658
26,9650.519445895508
27,9900.79708424928
28,31243.923572171057
29,15005.958649765214
30,12050.37603488575
31,17820.734897561342
32,12416.594099996137
33,22113.23438991314
34,10401.546536994574
35,17238.176637070483
36,14488.49707484577
37,33042.21512079394
38,7066.948661557454
39,8333.529484415667
40,6846.1254505252755
41,32182.233374332172
42,12402.921266626898
43,31572.509819009392
44,10119.932982405764
45,9452.18972172241
46,26192.333333333332
47,16556.288087082074
48,6168.240674652576
49,12414.775055960903
50,12133.098766482204
51,14560.737058325654
52,26287.644493947504
53,22668.433938745657
54,11485.41439678383
55,27444.0
56,5445.930951043066
57,8600.0
58,31328.555242927334
59,10322.760885975473
60,20124.0360258839
61,25770.431038745675
62,11773.695232163476
63,20158.419682848853
64,19775.97750697585
65,9328.33890837978
66,40467.42659721243
67,20247.19797595933
68,17485.606586893617
69,33784.21007406661
70,37850.239288790355
71,13903.067083328046
72,25913.163872888363
73,9808.605183830621
74,6610.773636161571
75,14296.856858280467
76,54334.828346815026
77,15774.654300238779
78,7429.9403150555045
79,24097.33027554763
80,13148.834887551722
81,11384.517570809589
82,16372.855364103822
83,12237.534677087484
84,18483.480161359978
85,9723.486096712179
86,46961.95773504955
87,66615.21831932839
88,9184.331859798845
89,19660.945037940262
90,15050.810702408306
91,18967.499749778108
92,11795.611915882479
93,10279.76018749063
94,8832.13199243882
95,16310.790459153188
96,15718.020551955678
97,11712.201443462756
98,31928.425669854303
99,32957.77054087044
100,33783.85707283964
101,18207.99285709638
102,30326.882921467128
103,10122.456908705377
104,9995.0
105,10825.974883443576
106,10829.714893318462
107,9680.716021254735
108,12452.404757144806
109,24377.354569784085
110,8497.05155043431
111,10776.680392974882
112,32282.010186189607
113,30459.252150872817
114,21551.522448116877
115,54059.655769486366
116,14123.889911848879
117,22743.6941441622
118,10405.488369419189
119,10383.684445918418
120,6272.3069689753
121,28884.2374734897
122,20855.305981741156
123,34844.70191667455
124,7270.06100279982
125,37594.2289392482
126,21144.080595416184
127,10475.576371833771
128,11731.019527097147
129,12008.011046457537
130,12390.757591936972
131,26155.226882722367
132,12147.480817245378
133,16515.338779268503
134,18078.01496758516
135,5950.196514607369
136,9647.703507214388
137,16928.111359826275
138,20868.2440180506
139,22170.663502019393
140,8167.257854675101
141,21267.6802346019
142,26386.751377266915
143,8857.64973684261
144,10047.62190707289
145,13462.831693125692
146,7250.175460543655
147,10147.924051050099
148,21550.07558276072
149,6051.3299021402545
150,7848.5372803518085
151,14489.233155446022
152,15429.328787185677
153,38825.694604418284
154,10317.644518674851
155,11280.43420703237
156,19917.45613067132
157,16958.28381722289
158,15821.664366669678
159,10265.708151163677
160,8689.525389756682
161,7707.241955597237
162,23689.932850053458
163,8074.405818322468
164,11732.472342909039
165,15039.90169857001
166,14525.820522812604
167,49241.19975601814
168,57597.54766469862
169,23420.152332635822
170,14491.864908361384
171,10538.337541469506
172,13145.228334426267
173,11560.708243654095
174,17453.787785605928
175,20488.215782303374
176,30642.592616839334
177,11731.987174142416
178,12423.58501029631
179,19007.281922277263
180,7441.1670770174005
181,11861.925869031955
182,10594.496991783502
183,16662.918343688798
184,16396.355880653104
185,14332.670597678696
186,15313.007973128497
187,9781.174749981255
188,25268.54391126149
189,19632.823022055734
190,21351.79575874438
191,18643.597495315276
192,31086.458231248755
193,16741.740990988983
194,9627.224765775753
195,8366.413479715908
196,14533.771818455529
197,8297.726160893755
198,56825.616070386684
199,14614.385119657261
200,32225.77512727267
201,53689.05275257965
202,10639.942241603778
203,13239.809977285784
204,17176.087784627278
205,6873.517007466575
206,3347.6204017961154
207,19488.817810234126
208,10464.964397105134
209,23810.040496747766
210,10298.972048521824
211,10255.063078031051
212,10559.90388954006
213,12207.212590283376
214,15170.269269112834
215,9643.3782033494
